,mach_id,asm_id,asm_name,par_id,ile,name
67,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25876,1,032P_00.00.00.003_Kolo_lancuchowe_z_piasta_16B-2_z17
68,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25879,1,DIN_912_M6x12_Zn_KL8.8
69,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25882,1,DIN_125_M6_Zn_HV200
70,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25885,1,DIN_125_M6_Zn_HV200
71,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25888,1,DIN_127_M6_Zn_HV200
72,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25891,1,DIN_127_M6_Zn_HV200
73,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25894,1,DIN_912_M6x12_Zn_KL8.8
74,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25934,1,032P_00.00.00.004_Tulejka_dociskowa_kola
75,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25937,1,DIN_127_M6_Zn_HV200
76,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25940,1,DIN_912_M6x12_Zn_KL8.8
77,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25943,1,DIN_125_M6_Zn_HV200
78,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25946,1,DIN_127_M12_Zn_HV200
79,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25991,1,DIN_912_M12x30_Zn_KL8.8
80,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25997,1,
81,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26308,1,DIN_125_M6_Zn_HV200
82,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26311,1,DIN_912_M6x12_Zn_KL8.8
83,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26314,1,DIN_125_M6_Zn_HV200
84,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26317,1,DIN_912_M6x12_Zn_KL8.8
85,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26349,1,DIN_9021_M12_Zn_HV200
86,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26352,1,DIN_9021_M12_Zn_HV200
87,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26355,1,DIN_125_M12_Zn_HV200
88,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26358,1,DIN_125_M12_Zn_HV200
89,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26361,1,DIN_127_M12_Zn_HV200
90,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26364,1,DIN_127_M12_Zn_HV200
91,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26367,1,DIN_934_M12_Zn_KL8
92,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26370,1,DIN_934_M12_Zn_KL8
