"maszyna","asm_id","zespol","par_id","ilosc","name"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26523",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26526",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26529",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26532",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26535",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26538",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26541",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26544",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26547",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26550",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26553",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26556",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26559",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26562",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26565",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26568",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26571",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26574",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26577",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26580",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id19",1,"032P_01.01.00.000_Rama_A"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1198",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1201",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1204",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1207",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1210",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1213",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1216",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1219",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1222",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1228",1,"032P_01.02.00.000_Rama_B"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1844",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1847",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1850",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1853",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1856",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1859",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
"032P","id13","032P_01.00.00.000_Modul_rolkowy","id1862",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
