,is_asm,machine,asm_name,name,biblioteka,par_per_asm
57,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
58,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
59,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
60,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
61,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.001_Wal_napedowy,032P_00.00.00.001_Wal_napedowy,1
62,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
63,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
64,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
65,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Motoreduktor_CHM_90_20_100_B14_B3_CHT_100_L_A4_2.20_Kw_230-400V-50Hz_2_CHT_MVS_DX_PC_SX,Motoreduktor_CHM_90_20_100_B14_B3_CHT_100_L_A4_2.20_Kw_230-400V-50Hz_2_CHT_MVS_DX_PC_SX,1
66,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
67,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.003_Kolo_lancuchowe_z_piasta_16B-2_z17,032P_00.00.00.003_Kolo_lancuchowe_z_piasta_16B-2_z17,1
68,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
69,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
70,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
71,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
72,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
73,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
74,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.004_Tulejka_dociskowa_kola,032P_00.00.00.004_Tulejka_dociskowa_kola,1
75,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
76,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
77,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
78,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M12_Zn_HV200,DIN_127_M12_Zn_HV200,1
79,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M12x30_Zn_KL8.8,DIN_912_M12x30_Zn_KL8.8,1
80,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_05.00.00.000_Lancuch_16B-2x60_762,032P_05.00.00.000_Lancuch_16B-2x60_762,1
81,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
82,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
83,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
84,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
85,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_9021_M12_Zn_HV200,DIN_9021_M12_Zn_HV200,1
86,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_9021_M12_Zn_HV200,DIN_9021_M12_Zn_HV200,1
87,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M12_Zn_HV200,DIN_125_M12_Zn_HV200,1
88,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M12_Zn_HV200,DIN_125_M12_Zn_HV200,1
89,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M12_Zn_HV200,DIN_127_M12_Zn_HV200,1
90,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M12_Zn_HV200,DIN_127_M12_Zn_HV200,1
91,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_934_M12_Zn_KL8,DIN_934_M12_Zn_KL8,1
92,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_934_M12_Zn_KL8,DIN_934_M12_Zn_KL8,1
93,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M12x40_Zn_KL8.8,DIN_912_M12x40_Zn_KL8.8,1
94,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M12x40_Zn_KL8.8,DIN_912_M12x40_Zn_KL8.8,1
95,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_9021_M12_Zn_HV200,DIN_9021_M12_Zn_HV200,1
96,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_9021_M12_Zn_HV200,DIN_9021_M12_Zn_HV200,1
97,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M12x40_Zn_KL8.8,DIN_912_M12x40_Zn_KL8.8,1
98,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M12_Zn_HV200,DIN_125_M12_Zn_HV200,1
99,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M12_Zn_HV200,DIN_127_M12_Zn_HV200,1
100,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_934_M12_Zn_KL8,DIN_934_M12_Zn_KL8,1
101,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M12x40_Zn_KL8.8,DIN_912_M12x40_Zn_KL8.8,1
102,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M12_Zn_HV200,DIN_125_M12_Zn_HV200,1
103,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M12_Zn_HV200,DIN_127_M12_Zn_HV200,1
104,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_934_M12_Zn_KL8,DIN_934_M12_Zn_KL8,1
105,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_934_M12_Zn_KL8,DIN_934_M12_Zn_KL8,1
106,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_934_M12_Zn_KL8,DIN_934_M12_Zn_KL8,1
107,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M12x80_Zn_KL8.8_pelny_gwint,DIN_912_M12x80_Zn_KL8.8_pelny_gwint,1
108,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M12x80_Zn_KL8.8_pelny_gwint,DIN_912_M12x80_Zn_KL8.8_pelny_gwint,1
109,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
110,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
111,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
112,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
113,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
114,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
115,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
116,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
117,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
