,mach_id,asm_id,asm_name,par_id,ile
175,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3730,1
176,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3766,1
177,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3769,1
178,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3772,1
179,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3775,1
180,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3778,1
181,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3781,1
182,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3784,1
183,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3787,1
184,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3790,1
185,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3793,1
186,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3796,1
187,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3799,1
188,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3802,1
189,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3805,1
190,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3808,1
191,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3811,1
192,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3814,1
193,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3817,1
194,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3820,1
195,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3823,1
196,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3826,1
197,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3829,1
198,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3832,1
199,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3835,1
200,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3838,1
201,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3945,1
202,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3988,1
203,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3991,1
204,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3994,1
205,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3997,1
206,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4000,1
207,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4003,1
208,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4110,1
209,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4217,1
210,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4267,1
211,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4270,1
212,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4273,1
213,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4422,1
214,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4481,1
215,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4517,1
216,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4520,1
217,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4552,1
218,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4555,1
219,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4558,1
220,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4561,1
221,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4567,1
222,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4946,1
223,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5557,1
224,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5560,1
225,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5563,1
226,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5670,1
227,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5673,1
228,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5710,1
229,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5713,1
230,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5750,1
231,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5852,1
232,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5855,1
233,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5858,1
234,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5861,1
235,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5864,1
236,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5901,1
237,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5938,1
238,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5975,1
239,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6012,1
240,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6049,1
241,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6086,1
242,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6123,1
243,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6160,1
244,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6197,1
245,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6234,1
246,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6271,1
247,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6277,1
248,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6737,1
249,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6740,1
250,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6743,1
251,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6746,1
252,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6749,1
253,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6752,1
254,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6755,1
255,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6758,1
256,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6761,1
257,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6764,1
258,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6767,1
259,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6770,1
260,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6773,1
261,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6776,1
262,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6779,1
263,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6782,1
264,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6785,1
265,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6788,1
266,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6791,1
267,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6794,1
268,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6797,1
269,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6800,1
