,id,name
215,id2110,10B-1 Ogniwo A
216,id2113,10B-1 Ogniwo A
217,id2116,10B-1 Ogniwo A
218,id2119,10B-1 Ogniwo A
219,id2122,10B-1 Ogniwo A
220,id2125,10B-1 Ogniwo A
221,id2128,10B-1 Ogniwo A
222,id2131,10B-1 Ogniwo A
223,id2134,10B-1 Ogniwo A
224,id2137,10B-1 Ogniwo A
225,id2140,10B-1 Ogniwo A
226,id2143,10B-1 Ogniwo A
227,id2146,10B-1 Ogniwo A
228,id2149,10B-1 Ogniwo A
229,id2152,10B-1 Ogniwo A
230,id2155,10B-1 Ogniwo A
231,id2158,10B-1 Ogniwo A
232,id2161,10B-1 Ogniwo B
233,id2164,10B-1 Ogniwo B
234,id2167,10B-1 Ogniwo B
235,id2170,10B-1 Ogniwo B
236,id2173,10B-1 Ogniwo B
237,id2176,10B-1 Ogniwo B
238,id2179,10B-1 Ogniwo B
239,id2182,10B-1 Ogniwo B
240,id2185,10B-1 Ogniwo B
241,id2188,10B-1 Ogniwo B
242,id2191,10B-1 Ogniwo B
243,id2194,10B-1 Ogniwo B
244,id2197,10B-1 Ogniwo B
245,id2200,10B-1 Ogniwo B
246,id2203,10B-1 Ogniwo B
247,id2206,10B-1 Ogniwo B
248,id2209,10B-1 Ogniwo B
249,id2212,10B-1 Ogniwo B
250,id2215,10B-1 Ogniwo B
251,id2218,10B-1 Ogniwo B
252,id2221,10B-1 Ogniwo B
253,id2224,10B-1 Ogniwo B
254,id2227,10B-1 Ogniwo B
255,id2230,10B-1 Ogniwo B
256,id2233,10B-1 Ogniwo B
257,id2269,DIN_127_M8_Zn_HV200
258,id2312,DIN_934_M12_Zn_KL8
259,id2344,DIN_125_M12_Zn_HV200
260,id2376,DIN_9021_M8_Zn_HV200
261,id2379,DIN_934_M12_Zn_KL8
262,id2484,Ogniwo korpusowe 10B-1_5
263,id2543,Ogniwo zewnętrzne 10B-1_3
264,id2547,Ogniwo korpusowe 10B-1_5
265,id2551,Ogniwo zewnętrzne 10B-1_3
266,id2555,Ogniwo korpusowe 10B-1_5
267,id2559,Ogniwo zewnętrzne 10B-1_3
268,id2563,Ogniwo korpusowe 10B-1_5
269,id2567,Ogniwo zewnętrzne 10B-1_3
270,id2571,Ogniwo korpusowe 10B-1_5
271,id2575,Ogniwo zewnętrzne 10B-1_3
272,id2579,Ogniwo korpusowe 10B-1_5
273,id2583,Ogniwo zewnętrzne 10B-1_3
274,id2587,Ogniwo korpusowe 10B-1_5
275,id2591,Ogniwo zewnętrzne 10B-1_3
276,id2595,Ogniwo korpusowe 10B-1_5
277,id2599,Ogniwo zewnętrzne 10B-1_3
278,id2603,Ogniwo korpusowe 10B-1_5
279,id2607,Ogniwo zewnętrzne 10B-1_3
280,id2611,Ogniwo korpusowe 10B-1_5
281,id2615,Ogniwo zewnętrzne 10B-1_3
