,name,id,ref,ref_name,ref_type,asm
148,032P_01.03.00.000_Stopka_M16x150.asm:1,id2050,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
149,032P_01.03.00.001_ Blacha_8x150x50.psm:1,id2089,id2053,x,x,x
150,DIN_6331_M16_CZ_KL10.par:1,id2120,id2093,x,x,x
151,032P_01.03.00.002_Pret_ M16x150_8.8.par:1,id2160,id2124,x,x,x
152,DIN_127_M8_Zn_HV200.par:14,id2196,id2163,x,x,x
153,DIN_125_M8_Zn_HV200.par:12,id2228,id2199,x,x,x
154,DIN_125_M8_Zn_HV200.par:7,id2231,id2199,x,x,x
155,DIN_933_M8x25_Zn_KL8.8.par:10,id2281,id2234,x,x,x
156,032P_01.03.00.000_Stopka_M16x150.asm:2,id2284,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
157,DIN_125_M8_Zn_HV200.par:9,id2292,id2199,x,x,x
158,DIN_985_M8_Zn_KL.8.par:3,id2343,id2295,x,x,x
159,032P_01.03.00.000_Stopka_M16x150.asm:3,id2346,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
160,DIN_125_M8_Zn_HV200.par:1,id2354,id2199,x,x,x
161,032P_01.03.00.000_Stopka_M16x150.asm:4,id2357,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
162,034P_05.04.00.000S_Banda_4.asm:1,id2368,id2365,034P_05.04.00.000S_Banda_4,assembly,id2427 id2454 id2458 id2461 id2465 id2469 id2473 id2476 id2479
163,034P_05.04.00.001_Blacha.psm:1,id2427,id2371,x,x,x
164,034P_05.02.00.002_Blacha.psm:1,id2454,id2431,x,x,x
165,DIN_6331_M8_CZ_KL10.par:1,id2458,id1442,x,x,x
166,034P_05.02.00.002_Blacha.psm:2,id2461,id2431,x,x,x
167,034P_05.02.00.002_Blacha.psm:4,id2465,id2431,x,x,x
168,034P_05.02.00.002_Blacha.psm:6,id2469,id2431,x,x,x
169,DIN_6331_M8_CZ_KL10.par:2,id2473,id1442,x,x,x
170,DIN_6331_M8_CZ_KL10.par:3,id2476,id1442,x,x,x
171,DIN_6331_M8_CZ_KL10.par:4,id2479,id1442,x,x,x
172,032P_01.03.00.000_Stopka_M16x150.asm:5,id2482,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
173,032P_01.03.00.000_Stopka_M16x150.asm:6,id2490,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
174,032P_01.03.00.000_Stopka_M16x150.asm:7,id2498,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
175,032P_01.03.00.000_Stopka_M16x150.asm:8,id2506,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
176,032P_01.03.00.000_Stopka_M16x150.asm:9,id2514,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
177,032P_01.03.00.000_Stopka_M16x150.asm:10,id2522,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
178,032P_01.03.00.000_Stopka_M16x150.asm:11,id2530,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
179,032P_01.03.00.000_Stopka_M16x150.asm:12,id2538,id2047,032P_01.03.00.000_Stopka_M16x150,assembly,id2089 id2120 id2160
180,DIN_125_M10_Zn_HV200.par:1,id2575,id2546,x,x,x
181,DIN_125_M8_Zn_HV200.par:4,id2578,id2199,x,x,x
182,DIN_125_M10_Zn_HV200.par:2,id2581,id2546,x,x,x
183,DIN_127_M10_Zn_HV200.par:1,id2617,id2584,x,x,x
184,DIN_127_M10_Zn_HV200.par:2,id2620,id2584,x,x,x
185,DIN_933_M8x35_Zn_KL8.8.par:1,id2670,id2623,x,x,x
186,DIN_933_M10x30_Zn_KL8.8.par:1,id2720,id2673,x,x,x
187,034P_05.02.00.000S_Banda_2.asm:1,id2726,id2723,034P_05.02.00.000S_Banda_2,assembly,id2761 id2765 id2769 id2773 id2777 id2781
188,034P_05.02.00.001_Blacha.psm:1,id2761,id2729,x,x,x
189,034P_05.02.00.002_Blacha.psm:1,id2765,id2431,x,x,x
190,034P_05.02.00.002_Blacha.psm:2,id2769,id2431,x,x,x
191,034P_05.02.00.002_Blacha.psm:6,id2773,id2431,x,x,x
192,034P_05.02.00.002_Blacha.psm:7,id2777,id2431,x,x,x
193,034P_05.02.00.002_Blacha.psm:8,id2781,id2431,x,x,x
194,DIN_933_M8x35_Zn_KL8.8.par:3,id2785,id2623,x,x,x
195,DIN_933_M10x30_Zn_KL8.8.par:2,id2788,id2673,x,x,x
196,DIN_127_M8_Zn_HV200.par:15,id2791,id2163,x,x,x
197,DIN_125_M10_Zn_HV200.par:3,id2794,id2546,x,x,x
198,DIN_125_M10_Zn_HV200.par:4,id2797,id2546,x,x,x
199,DIN_127_M10_Zn_HV200.par:3,id2800,id2584,x,x,x
200,DIN_127_M10_Zn_HV200.par:4,id2803,id2584,x,x,x
201,DIN_933_M10x30_Zn_KL8.8.par:3,id2806,id2673,x,x,x
202,DIN_933_M10x30_Zn_KL8.8.par:4,id2809,id2673,x,x,x
203,DIN_125_M10_Zn_HV200.par:5,id2812,id2546,x,x,x
204,DIN_125_M10_Zn_HV200.par:6,id2815,id2546,x,x,x
205,DIN_127_M10_Zn_HV200.par:5,id2818,id2584,x,x,x
206,DIN_127_M10_Zn_HV200.par:6,id2821,id2584,x,x,x
207,DIN_933_M10x30_Zn_KL8.8.par:5,id2824,id2673,x,x,x
208,DIN_933_M10x30_Zn_KL8.8.par:6,id2827,id2673,x,x,x
209,DIN_125_M10_Zn_HV200.par:7,id2830,id2546,x,x,x
210,DIN_125_M10_Zn_HV200.par:8,id2833,id2546,x,x,x
211,DIN_127_M10_Zn_HV200.par:7,id2836,id2584,x,x,x
212,DIN_127_M10_Zn_HV200.par:8,id2839,id2584,x,x,x
213,DIN_933_M10x30_Zn_KL8.8.par:7,id2842,id2673,x,x,x
214,DIN_933_M10x30_Zn_KL8.8.par:8,id2845,id2673,x,x,x
215,DIN_125_M10_Zn_HV200.par:9,id2848,id2546,x,x,x
216,DIN_125_M10_Zn_HV200.par:10,id2851,id2546,x,x,x
217,DIN_127_M10_Zn_HV200.par:9,id2854,id2584,x,x,x
218,DIN_127_M10_Zn_HV200.par:10,id2857,id2584,x,x,x
219,DIN_933_M10x30_Zn_KL8.8.par:9,id2860,id2673,x,x,x
220,DIN_933_M10x30_Zn_KL8.8.par:10,id2863,id2673,x,x,x
221,DIN_125_M10_Zn_HV200.par:11,id2866,id2546,x,x,x
222,DIN_125_M10_Zn_HV200.par:12,id2869,id2546,x,x,x
223,DIN_127_M10_Zn_HV200.par:11,id2872,id2584,x,x,x
224,DIN_127_M10_Zn_HV200.par:12,id2875,id2584,x,x,x
225,DIN_933_M10x30_Zn_KL8.8.par:11,id2878,id2673,x,x,x
226,DIN_933_M10x30_Zn_KL8.8.par:12,id2881,id2673,x,x,x
227,DIN_125_M10_Zn_HV200.par:13,id2884,id2546,x,x,x
228,DIN_125_M10_Zn_HV200.par:14,id2887,id2546,x,x,x
229,DIN_127_M10_Zn_HV200.par:13,id2890,id2584,x,x,x
230,DIN_127_M10_Zn_HV200.par:14,id2893,id2584,x,x,x
231,DIN_933_M10x30_Zn_KL8.8.par:13,id2896,id2673,x,x,x
232,DIN_933_M10x30_Zn_KL8.8.par:14,id2899,id2673,x,x,x
233,DIN_125_M10_Zn_HV200.par:15,id2902,id2546,x,x,x
234,DIN_125_M10_Zn_HV200.par:16,id2905,id2546,x,x,x
235,DIN_127_M10_Zn_HV200.par:15,id2908,id2584,x,x,x
236,DIN_127_M10_Zn_HV200.par:16,id2911,id2584,x,x,x
237,DIN_933_M10x30_Zn_KL8.8.par:15,id2914,id2673,x,x,x
238,DIN_933_M10x30_Zn_KL8.8.par:16,id2917,id2673,x,x,x
239,DIN_125_M10_Zn_HV200.par:17,id2920,id2546,x,x,x
240,DIN_125_M10_Zn_HV200.par:18,id2923,id2546,x,x,x
241,DIN_127_M10_Zn_HV200.par:17,id2926,id2584,x,x,x
242,DIN_127_M10_Zn_HV200.par:18,id2929,id2584,x,x,x
243,DIN_933_M10x30_Zn_KL8.8.par:17,id2932,id2673,x,x,x
244,DIN_933_M10x30_Zn_KL8.8.par:18,id2935,id2673,x,x,x
245,DIN_125_M10_Zn_HV200.par:19,id2938,id2546,x,x,x
246,DIN_125_M10_Zn_HV200.par:20,id2941,id2546,x,x,x
247,DIN_127_M10_Zn_HV200.par:19,id2944,id2584,x,x,x
248,DIN_127_M10_Zn_HV200.par:20,id2947,id2584,x,x,x
249,DIN_933_M10x30_Zn_KL8.8.par:19,id2950,id2673,x,x,x
250,DIN_933_M10x30_Zn_KL8.8.par:20,id2953,id2673,x,x,x
251,DIN_125_M10_Zn_HV200.par:21,id2956,id2546,x,x,x
252,DIN_125_M10_Zn_HV200.par:22,id2959,id2546,x,x,x
253,DIN_127_M10_Zn_HV200.par:21,id2962,id2584,x,x,x
254,DIN_127_M10_Zn_HV200.par:22,id2965,id2584,x,x,x
255,DIN_933_M10x30_Zn_KL8.8.par:21,id2968,id2673,x,x,x
256,DIN_933_M10x30_Zn_KL8.8.par:22,id2971,id2673,x,x,x
257,DIN_125_M10_Zn_HV200.par:23,id2974,id2546,x,x,x
258,DIN_125_M10_Zn_HV200.par:24,id2977,id2546,x,x,x
259,DIN_127_M10_Zn_HV200.par:23,id2980,id2584,x,x,x
260,DIN_127_M10_Zn_HV200.par:24,id2983,id2584,x,x,x
261,DIN_933_M10x30_Zn_KL8.8.par:23,id2986,id2673,x,x,x
262,DIN_933_M10x30_Zn_KL8.8.par:24,id2989,id2673,x,x,x
263,DIN_125_M10_Zn_HV200.par:25,id2992,id2546,x,x,x
264,DIN_125_M10_Zn_HV200.par:26,id2995,id2546,x,x,x
265,DIN_127_M10_Zn_HV200.par:25,id2998,id2584,x,x,x
266,DIN_127_M10_Zn_HV200.par:26,id3001,id2584,x,x,x
267,DIN_933_M10x30_Zn_KL8.8.par:25,id3004,id2673,x,x,x
268,DIN_933_M10x30_Zn_KL8.8.par:26,id3007,id2673,x,x,x
269,DIN_125_M10_Zn_HV200.par:27,id3010,id2546,x,x,x
270,DIN_125_M10_Zn_HV200.par:28,id3013,id2546,x,x,x
271,DIN_127_M10_Zn_HV200.par:27,id3016,id2584,x,x,x
272,DIN_127_M10_Zn_HV200.par:28,id3019,id2584,x,x,x
273,DIN_933_M10x30_Zn_KL8.8.par:27,id3022,id2673,x,x,x
274,DIN_933_M10x30_Zn_KL8.8.par:28,id3025,id2673,x,x,x
275,DIN_125_M10_Zn_HV200.par:29,id3028,id2546,x,x,x
276,DIN_125_M10_Zn_HV200.par:30,id3031,id2546,x,x,x
277,DIN_127_M10_Zn_HV200.par:29,id3034,id2584,x,x,x
278,DIN_127_M10_Zn_HV200.par:30,id3037,id2584,x,x,x
279,DIN_933_M10x30_Zn_KL8.8.par:29,id3040,id2673,x,x,x
280,DIN_933_M10x30_Zn_KL8.8.par:30,id3043,id2673,x,x,x
281,DIN_125_M10_Zn_HV200.par:31,id3046,id2546,x,x,x
282,DIN_125_M10_Zn_HV200.par:32,id3049,id2546,x,x,x
283,DIN_127_M10_Zn_HV200.par:31,id3052,id2584,x,x,x
284,DIN_127_M10_Zn_HV200.par:32,id3055,id2584,x,x,x
285,DIN_933_M10x30_Zn_KL8.8.par:31,id3058,id2673,x,x,x
286,DIN_933_M10x30_Zn_KL8.8.par:32,id3061,id2673,x,x,x
287,DIN_125_M10_Zn_HV200.par:33,id3064,id2546,x,x,x
288,DIN_125_M10_Zn_HV200.par:34,id3067,id2546,x,x,x
289,DIN_127_M10_Zn_HV200.par:33,id3070,id2584,x,x,x
290,DIN_127_M10_Zn_HV200.par:34,id3073,id2584,x,x,x
291,DIN_933_M10x30_Zn_KL8.8.par:33,id3076,id2673,x,x,x
292,DIN_933_M10x30_Zn_KL8.8.par:34,id3079,id2673,x,x,x
293,DIN_125_M10_Zn_HV200.par:35,id3082,id2546,x,x,x
294,DIN_125_M10_Zn_HV200.par:36,id3085,id2546,x,x,x
295,DIN_127_M10_Zn_HV200.par:35,id3088,id2584,x,x,x
296,DIN_127_M10_Zn_HV200.par:36,id3091,id2584,x,x,x
297,DIN_933_M10x30_Zn_KL8.8.par:35,id3094,id2673,x,x,x
298,DIN_933_M10x30_Zn_KL8.8.par:36,id3097,id2673,x,x,x
299,DIN_125_M10_Zn_HV200.par:37,id3100,id2546,x,x,x
300,DIN_125_M10_Zn_HV200.par:38,id3103,id2546,x,x,x
301,DIN_127_M10_Zn_HV200.par:37,id3106,id2584,x,x,x
302,DIN_127_M10_Zn_HV200.par:38,id3109,id2584,x,x,x
303,DIN_933_M10x30_Zn_KL8.8.par:37,id3112,id2673,x,x,x
304,DIN_933_M10x30_Zn_KL8.8.par:38,id3115,id2673,x,x,x
305,DIN_125_M10_Zn_HV200.par:39,id3118,id2546,x,x,x
306,DIN_125_M10_Zn_HV200.par:40,id3121,id2546,x,x,x
307,DIN_127_M10_Zn_HV200.par:39,id3124,id2584,x,x,x
308,DIN_127_M10_Zn_HV200.par:40,id3127,id2584,x,x,x
309,DIN_933_M10x30_Zn_KL8.8.par:39,id3130,id2673,x,x,x
310,DIN_933_M10x30_Zn_KL8.8.par:40,id3133,id2673,x,x,x
311,DIN_125_M10_Zn_HV200.par:41,id3136,id2546,x,x,x
312,DIN_125_M10_Zn_HV200.par:42,id3139,id2546,x,x,x
313,DIN_127_M10_Zn_HV200.par:41,id3142,id2584,x,x,x
314,DIN_127_M10_Zn_HV200.par:42,id3145,id2584,x,x,x
315,DIN_933_M10x30_Zn_KL8.8.par:41,id3148,id2673,x,x,x
316,DIN_933_M10x30_Zn_KL8.8.par:42,id3151,id2673,x,x,x
317,DIN_125_M10_Zn_HV200.par:43,id3154,id2546,x,x,x
318,DIN_125_M10_Zn_HV200.par:44,id3157,id2546,x,x,x
319,DIN_127_M10_Zn_HV200.par:43,id3160,id2584,x,x,x
320,DIN_127_M10_Zn_HV200.par:44,id3163,id2584,x,x,x
321,DIN_933_M10x30_Zn_KL8.8.par:43,id3166,id2673,x,x,x
322,DIN_933_M10x30_Zn_KL8.8.par:44,id3169,id2673,x,x,x
323,DIN_125_M10_Zn_HV200.par:45,id3172,id2546,x,x,x
324,DIN_125_M10_Zn_HV200.par:46,id3175,id2546,x,x,x
325,DIN_127_M10_Zn_HV200.par:45,id3178,id2584,x,x,x
326,DIN_127_M10_Zn_HV200.par:46,id3181,id2584,x,x,x
327,DIN_933_M10x30_Zn_KL8.8.par:45,id3184,id2673,x,x,x
328,DIN_933_M10x30_Zn_KL8.8.par:46,id3187,id2673,x,x,x
329,DIN_125_M10_Zn_HV200.par:47,id3190,id2546,x,x,x
330,DIN_125_M10_Zn_HV200.par:48,id3193,id2546,x,x,x
331,DIN_127_M10_Zn_HV200.par:47,id3196,id2584,x,x,x
332,DIN_127_M10_Zn_HV200.par:48,id3199,id2584,x,x,x
333,DIN_933_M10x30_Zn_KL8.8.par:47,id3202,id2673,x,x,x
334,DIN_933_M10x30_Zn_KL8.8.par:48,id3205,id2673,x,x,x
335,DIN_125_M10_Zn_HV200.par:49,id3208,id2546,x,x,x
336,DIN_125_M10_Zn_HV200.par:50,id3211,id2546,x,x,x
337,DIN_127_M10_Zn_HV200.par:49,id3214,id2584,x,x,x
338,DIN_127_M10_Zn_HV200.par:50,id3217,id2584,x,x,x
339,DIN_933_M10x30_Zn_KL8.8.par:49,id3220,id2673,x,x,x
340,DIN_933_M10x30_Zn_KL8.8.par:50,id3223,id2673,x,x,x
341,DIN_125_M10_Zn_HV200.par:51,id3226,id2546,x,x,x
342,DIN_125_M10_Zn_HV200.par:52,id3229,id2546,x,x,x
343,DIN_127_M10_Zn_HV200.par:51,id3232,id2584,x,x,x
344,DIN_127_M10_Zn_HV200.par:52,id3235,id2584,x,x,x
345,DIN_933_M10x30_Zn_KL8.8.par:51,id3238,id2673,x,x,x
346,DIN_933_M10x30_Zn_KL8.8.par:52,id3241,id2673,x,x,x
347,DIN_125_M10_Zn_HV200.par:53,id3244,id2546,x,x,x
348,DIN_125_M10_Zn_HV200.par:54,id3247,id2546,x,x,x
349,DIN_127_M10_Zn_HV200.par:53,id3250,id2584,x,x,x
350,DIN_127_M10_Zn_HV200.par:54,id3253,id2584,x,x,x
351,DIN_933_M10x30_Zn_KL8.8.par:53,id3256,id2673,x,x,x
352,DIN_933_M10x30_Zn_KL8.8.par:54,id3259,id2673,x,x,x
353,DIN_933_M8x25_Zn_KL8.8.par:6,id3262,id2234,x,x,x
354,DIN_127_M8_Zn_HV200.par:6,id3265,id2163,x,x,x
355,DIN_127_M8_Zn_HV200.par:10,id3268,id2163,x,x,x
356,DIN_127_M8_Zn_HV200.par:1,id3271,id2163,x,x,x
357,DIN_125_M8_Zn_HV200.par:6,id3274,id2199,x,x,x
358,034P_03.01.00.000S_Slizg.asm:4,id3277,id1158,034P_03.01.00.000S_Slizg,assembly,id1192 id1219 id1246 id1273 id1309 id1313
359,DIN_125_M8_Zn_HV200.par:5,id3292,id2199,x,x,x
360,034P_03.01.00.000S_Slizg.asm:2,id3295,id1158,034P_03.01.00.000S_Slizg,assembly,id1192 id1219 id1246 id1273 id1309 id1313
361,DIN_7991_M8x35_Zn_KL8.8.par:3,id3310,id1908,x,x,x
362,DIN_125_M10_Zn_HV200.par:59,id3313,id2546,x,x,x
363,DIN_125_M10_Zn_HV200.par:60,id3316,id2546,x,x,x
364,034P_03.01.00.000S_Slizg.asm:3,id3319,id1158,034P_03.01.00.000S_Slizg,assembly,id1192 id1219 id1246 id1273 id1309 id1313
365,DIN_125_M10_Zn_HV200.par:61,id3334,id2546,x,x,x
366,034P_03.01.00.000S_Slizg.asm:6,id3337,id1158,034P_03.01.00.000S_Slizg,assembly,id1192 id1219 id1246 id1273 id1309 id1313
367,DIN_125_M10_Zn_HV200.par:62,id3352,id2546,x,x,x
368,DIN_127_M10_Zn_HV200.par:59,id3355,id2584,x,x,x
369,034P_03.01.00.000S_Slizg.asm:8,id3358,id1158,034P_03.01.00.000S_Slizg,assembly,id1192 id1219 id1246 id1273 id1309 id1313
370,"Motoreduktor_CHM_50_7,5_80_B14_B3_CHT_80_D4_1.10_Kw_230-400V-50Hz_4_CHT_MVS_SX_PC_DX.par:1",id3999,id3373,x,x,x
371,DIN_127_M10_Zn_HV200.par:60,id4002,id2584,x,x,x
372,034P_03.01.00.000S_Slizg.asm:9,id4005,id1158,034P_03.01.00.000S_Slizg,assembly,id1192 id1219 id1246 id1273 id1309 id1313
373,DIN_934_M10_Zn_KL8.par:1,id4060,id4020,x,x,x
374,DIN_934_M10_Zn_KL8.par:2,id4063,id4020,x,x,x
375,DIN_933_M10x30_Zn_KL8.8.par:59,id4066,id2673,x,x,x
376,DIN_125_M8_Zn_HV200.par:15,id4069,id2199,x,x,x
377,DIN_125_M8_Zn_HV200.par:3,id4072,id2199,x,x,x
378,DIN_933_M10x30_Zn_KL8.8.par:60,id4075,id2673,x,x,x
379,DIN_933_M8x35_Zn_KL8.8.par:2,id4078,id2623,x,x,x
380,034P_05.05.00.000S_Banda_5.asm:3,id4081,id1317,034P_05.05.00.000S_Banda_5,assembly,id1363 id1390 id1422 id1426 id1430 id1434 id1438 id1484 id1487 id1491 id1495 id1499 id1503 id1507
381,DIN_934_M8_Zn_KL8.par:1,id4150,id4110,x,x,x
382,DIN_125_M10_Zn_HV200.par:63,id4153,id2546,x,x,x
383,DIN_933_M10x30_Zn_KL8.8.par:61,id4156,id2673,x,x,x
384,DIN_125_M10_Zn_HV200.par:64,id4159,id2546,x,x,x
385,DIN_127_M10_Zn_HV200.par:61,id4162,id2584,x,x,x
386,DIN_934_M10_Zn_KL8.par:3,id4165,id4020,x,x,x
387,DIN_125_M10_Zn_HV200.par:65,id4168,id2546,x,x,x
388,DIN_933_M10x30_Zn_KL8.8.par:62,id4171,id2673,x,x,x
389,DIN_125_M10_Zn_HV200.par:66,id4174,id2546,x,x,x
390,DIN_127_M10_Zn_HV200.par:62,id4177,id2584,x,x,x
391,DIN_934_M10_Zn_KL8.par:4,id4180,id4020,x,x,x
392,DIN_933_M8x25_Zn_KL8.8.par:7,id4183,id2234,x,x,x
393,034P_05.05.00.000S_Banda_5.asm:4,id4186,id1317,034P_05.05.00.000S_Banda_5,assembly,id1363 id1390 id1422 id1426 id1430 id1434 id1438 id1484 id1487 id1491 id1495 id1499 id1503 id1507
394,DIN_125_M8_Zn_HV200.par:16,id4215,id2199,x,x,x
395,034P_02.00.00.004_Blacha.psm:1,id4304,id4218,x,x,x
396,DIN_933_M8x25_Zn_KL8.8.par:9,id4307,id2234,x,x,x
397,DIN_933_M8x25_Zn_KL8.8.par:1,id4310,id2234,x,x,x
398,DIN_127_M8_Zn_HV200.par:7,id4313,id2163,x,x,x
399,DIN_127_M8_Zn_HV200.par:4,id4316,id2163,x,x,x
400,DIN_125_M8_Zn_HV200.par:8,id4319,id2199,x,x,x
401,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:1",id4325,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
402,10B-1 Ogniwo A.par:1,id4375,id4328,x,x,x
403,10B-1 Ogniwo B.par:1,id4423,id4378,x,x,x
404,10B-1 Ogniwo A.par:2,id4426,id4328,x,x,x
405,10B-1 Ogniwo A.par:3,id4429,id4328,x,x,x
406,10B-1 Ogniwo A.par:4,id4432,id4328,x,x,x
407,10B-1 Ogniwo A.par:5,id4435,id4328,x,x,x
408,10B-1 Ogniwo A.par:6,id4438,id4328,x,x,x
409,10B-1 Ogniwo A.par:7,id4441,id4328,x,x,x
410,10B-1 Ogniwo A.par:8,id4444,id4328,x,x,x
411,10B-1 Ogniwo A.par:9,id4447,id4328,x,x,x
412,10B-1 Ogniwo A.par:10,id4450,id4328,x,x,x
413,10B-1 Ogniwo A.par:11,id4453,id4328,x,x,x
414,10B-1 Ogniwo A.par:12,id4456,id4328,x,x,x
415,10B-1 Ogniwo A.par:13,id4459,id4328,x,x,x
416,10B-1 Ogniwo A.par:14,id4462,id4328,x,x,x
417,10B-1 Ogniwo A.par:15,id4465,id4328,x,x,x
418,10B-1 Ogniwo A.par:16,id4468,id4328,x,x,x
419,10B-1 Ogniwo A.par:17,id4471,id4328,x,x,x
420,10B-1 Ogniwo A.par:18,id4474,id4328,x,x,x
421,10B-1 Ogniwo A.par:19,id4477,id4328,x,x,x
422,10B-1 Ogniwo A.par:20,id4480,id4328,x,x,x
423,10B-1 Ogniwo A.par:21,id4483,id4328,x,x,x
424,10B-1 Ogniwo A.par:22,id4486,id4328,x,x,x
425,10B-1 Ogniwo B.par:2,id4489,id4378,x,x,x
426,10B-1 Ogniwo B.par:3,id4492,id4378,x,x,x
427,10B-1 Ogniwo B.par:4,id4495,id4378,x,x,x
428,10B-1 Ogniwo B.par:5,id4498,id4378,x,x,x
429,10B-1 Ogniwo B.par:6,id4501,id4378,x,x,x
430,10B-1 Ogniwo B.par:7,id4504,id4378,x,x,x
431,10B-1 Ogniwo B.par:8,id4507,id4378,x,x,x
432,10B-1 Ogniwo B.par:9,id4510,id4378,x,x,x
433,10B-1 Ogniwo B.par:10,id4513,id4378,x,x,x
434,10B-1 Ogniwo B.par:11,id4516,id4378,x,x,x
435,10B-1 Ogniwo B.par:12,id4519,id4378,x,x,x
436,10B-1 Ogniwo B.par:13,id4522,id4378,x,x,x
437,10B-1 Ogniwo B.par:14,id4525,id4378,x,x,x
438,10B-1 Ogniwo B.par:15,id4528,id4378,x,x,x
439,10B-1 Ogniwo B.par:16,id4531,id4378,x,x,x
440,10B-1 Ogniwo B.par:17,id4534,id4378,x,x,x
441,10B-1 Ogniwo B.par:18,id4537,id4378,x,x,x
442,10B-1 Ogniwo B.par:19,id4540,id4378,x,x,x
443,10B-1 Ogniwo B.par:20,id4543,id4378,x,x,x
444,10B-1 Ogniwo B.par:21,id4546,id4378,x,x,x
445,10B-1 Ogniwo B.par:22,id4549,id4378,x,x,x
446,DIN_127_M8_Zn_HV200.par:11,id4552,id2163,x,x,x
447,DIN_985_M8_Zn_KL.8.par:4,id4555,id2295,x,x,x
448,034P_05.20.00.000_Odciag.asm:1,id4561,id4558,034P_05.20.00.000_Odciag,assembly,id4644 id4650
449,Przegub_widelkowy_GN 751-10-20-M10-SL.par:1,id4644,id4564,x,x,x
450,034P_05.20.00.000S_Odciag.asm:1,id4650,id4647,034P_05.20.00.000S_Odciag,assembly,id4702 id4739 id4781
451,034P_05.20.00.002_Blacha.psm:1,id4702,id4653,x,x,x
452,034P_05.20.00.001_Pret_gwintowany_M10.par:1,id4739,id4705,x,x,x
453,034P_05.20.00.003_Blacha.psm:1,id4781,id4742,x,x,x
454,DIN_985_M8_Zn_KL.8.par:2,id4784,id2295,x,x,x
455,034P_05.03.00.000S_Banda_3.asm:1,id4790,id4787,034P_05.03.00.000S_Banda_3,assembly,id4841 id4845 id4849 id4852 id4856 id4860 id4864 id4868 id4872
456,034P_05.03.00.001_Blacha.psm:1,id4841,id4793,x,x,x
457,034P_05.02.00.002_Blacha.psm:1,id4845,id2431,x,x,x
458,DIN_6331_M8_CZ_KL10.par:1,id4849,id1442,x,x,x
459,034P_05.02.00.002_Blacha.psm:2,id4852,id2431,x,x,x
460,034P_05.02.00.002_Blacha.psm:3,id4856,id2431,x,x,x
461,034P_05.02.00.002_Blacha.psm:4,id4860,id2431,x,x,x
462,034P_05.02.00.002_Blacha.psm:5,id4864,id2431,x,x,x
463,034P_05.02.00.002_Blacha.psm:6,id4868,id2431,x,x,x
464,DIN_6331_M8_CZ_KL10.par:2,id4872,id1442,x,x,x
465,DIN_127_M8_Zn_HV200.par:5,id4875,id2163,x,x,x
466,DIN_125_M8_Zn_HV200.par:2,id4878,id2199,x,x,x
467,DIN_7991_M8x35_Zn_KL8.8.par:2,id4881,id1908,x,x,x
468,DIN_7991_M8x35_Zn_KL8.8.par:4,id4884,id1908,x,x,x
469,Kolo_lancuchowe_z_piasta_SM_10B-1_z15_d25.par:1,id5027,id4887,x,x,x
470,DIN_127_M8_Zn_HV200.par:13,id5030,id2163,x,x,x
471,DIN_125_M8_Zn_HV200.par:13,id5033,id2199,x,x,x
472,DIN_933_M8x25_Zn_KL8.8.par:3,id5036,id2234,x,x,x
473,"034P_00.00.00.002_Lancuch_10B-1x509,81.asm:1",id5042,id5039,"034P_00.00.00.002_Lancuch_10B-1x509,81",assembly,id5045 id5048 id5051 id5054 id5057 id5060 id5063 id5066 id5069 id5072 id5075 id5078 id5081 id5084 id5087 id5090 id5093 id5096 id5099 id5102 id5105 id5108 id5111 id5114 id5117 id5120 id5123 id5126 id5129 id5132 id5135 id5138
474,10B-1 Ogniwo A.par:1,id5045,id4328,x,x,x
475,10B-1 Ogniwo B.par:1,id5048,id4378,x,x,x
476,10B-1 Ogniwo A.par:2,id5051,id4328,x,x,x
477,10B-1 Ogniwo A.par:3,id5054,id4328,x,x,x
478,10B-1 Ogniwo A.par:4,id5057,id4328,x,x,x
479,10B-1 Ogniwo A.par:5,id5060,id4328,x,x,x
480,10B-1 Ogniwo A.par:6,id5063,id4328,x,x,x
481,10B-1 Ogniwo A.par:7,id5066,id4328,x,x,x
482,10B-1 Ogniwo A.par:8,id5069,id4328,x,x,x
