,mach_id,asm_id,asm_name,par_id,ile,id,name
87,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26433,,id26433,DIN_127_M12_Zn_HV200
88,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26436,,id26436,DIN_934_M12_Zn_KL8
89,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26439,,id26439,DIN_912_M12x40_Zn_KL8.8
90,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26442,,id26442,DIN_125_M12_Zn_HV200
91,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26445,,id26445,DIN_127_M12_Zn_HV200
92,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26448,,id26448,DIN_934_M12_Zn_KL8
93,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26451,,id26451,DIN_934_M12_Zn_KL8
94,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26454,,id26454,DIN_934_M12_Zn_KL8
95,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26502,,id26502,DIN_912_M12x80_Zn_KL8.8_pelny_gwint
96,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26505,,id26505,DIN_912_M12x80_Zn_KL8.8_pelny_gwint
97,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26508,,id26508,DIN_127_M6_Zn_HV200
98,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26511,,id26511,DIN_127_M6_Zn_HV200
99,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26514,,id26514,DIN_127_M6_Zn_HV200
100,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26517,,id26517,DIN_125_M6_Zn_HV200
101,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26520,,id26520,DIN_125_M6_Zn_HV200
102,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26523,,id26523,DIN_125_M6_Zn_HV200
103,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26526,,id26526,DIN_912_M6x12_Zn_KL8.8
104,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26529,,id26529,DIN_127_M6_Zn_HV200
105,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26532,,id26532,DIN_125_M6_Zn_HV200
106,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26535,,id26535,DIN_912_M6x12_Zn_KL8.8
107,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26538,,id26538,DIN_125_M6_Zn_HV200
108,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26541,,id26541,DIN_912_M6x12_Zn_KL8.8
109,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26544,,id26544,DIN_127_M6_Zn_HV200
110,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26547,,id26547,DIN_125_M6_Zn_HV200
